name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,2391,190965962,,,,,-94.4130653,39.090471,POINT (-94.4130653 39.090471)
,2392,190965964,,,,,-94.4127612,39.0907104,POINT (-94.4127612 39.0907104)
,2393,190965966,,,,,-94.4126145,39.0908253,POINT (-94.4126145 39.0908253)
,2394,190965969,,,,,-94.412107,39.0912346,POINT (-94.412107 39.0912346)
,2395,190965970,,,,,-94.411923,39.0913991,POINT (-94.411923 39.0913991)
,2396,190965971,,,,,-94.4118202,39.0915048,POINT (-94.4118202 39.0915048)
,2397,190965977,,,,,-94.4977677,39.1215947,POINT (-94.4977677 39.1215947)
,2398,190965981,switch,,,,-94.497537,39.1212722,POINT (-94.497537 39.1212722)
,2399,190965982,,,,,-94.4973996,39.121157,POINT (-94.4973996 39.121157)
,2400,190965984,level_crossing,,,,-94.4971473,39.1210112,POINT (-94.4971473 39.1210112)
,2401,190965986,,,,,-94.4969191,39.1209248,POINT (-94.4969191 39.1209248)
,2402,190965987,,,,,-94.4965099,39.1208269,POINT (-94.4965099 39.1208269)
,2403,190965988,level_crossing,,,,-94.4952068,39.1206208,POINT (-94.4952068 39.1206208)
,2404,190965989,,,,,-94.4950351,39.1206177,POINT (-94.4950351 39.1206177)
,2405,190965991,,,,,-94.4948445,39.1206218,POINT (-94.4948445 39.1206218)
,2406,190966009,,,,,-94.4906284,39.1210026,POINT (-94.4906284 39.1210026)
,2407,190966010,,,,,-94.4890639,39.121148,POINT (-94.4890639 39.121148)
,2408,190966011,,,,,-94.487538,39.121281,POINT (-94.487538 39.121281)
,2409,190966012,level_crossing,,,,-94.487489,39.12129,POINT (-94.487489 39.12129)
,2410,190966013,,,,,-94.487288,39.121324,POINT (-94.487288 39.121324)
,2411,190966015,,,,,-94.487142,39.121361,POINT (-94.487142 39.121361)
,2412,190966017,,,,,-94.486968,39.121421,POINT (-94.486968 39.121421)
,2413,190966018,,,,,-94.486702,39.121541,POINT (-94.486702 39.121541)
,2414,190966019,,,,,-94.486157,39.121799,POINT (-94.486157 39.121799)
,2415,190966021,,,,,-94.4856756,39.1220447,POINT (-94.4856756 39.1220447)
,2416,190966023,,,,,-94.4854611,39.1221508,POINT (-94.4854611 39.1221508)
,2417,190966024,,,,,-94.4847074,39.122515,POINT (-94.4847074 39.122515)
,2418,190966025,,,,,-94.4835567,39.1230851,POINT (-94.4835567 39.1230851)
,2419,190966026,,,,,-94.4829934,39.1234097,POINT (-94.4829934 39.1234097)
,2420,190966028,,,,,-94.481494,39.124451,POINT (-94.481494 39.124451)
,2421,190966030,,,,,-94.4777473,39.1270846,POINT (-94.4777473 39.1270846)
,2422,190966033,,,,,-94.5780497,39.1140308,POINT (-94.5780497 39.1140308)
,2423,190966039,,,,,-94.572653,39.1146135,POINT (-94.572653 39.1146135)
,2424,190966180,,,,,-94.5357175,39.1234452,POINT (-94.5357175 39.1234452)
,2425,190966187,,,,,-94.535296,39.1235672,POINT (-94.535296 39.1235672)
,2426,190966194,,,,,-94.5349939,39.1236311,POINT (-94.5349939 39.1236311)
,2427,190966197,,,,,-94.534395,39.1237063,POINT (-94.534395 39.1237063)
,2428,190966198,,,,,-94.5310502,39.1238133,POINT (-94.5310502 39.1238133)
,2429,190966199,,,,,-94.5303222,39.1238945,POINT (-94.5303222 39.1238945)
,2430,190966200,,,,,-94.5301061,39.1239239,POINT (-94.5301061 39.1239239)
,2431,190966204,,,,,-94.5269137,39.1243624,POINT (-94.5269137 39.1243624)
,2432,190966205,,,,,-94.5263554,39.1244258,POINT (-94.5263554 39.1244258)
,2433,190966206,,,,,-94.525861,39.1244337,POINT (-94.525861 39.1244337)
,2434,190966208,,,,,-94.5231117,39.1242898,POINT (-94.5231117 39.1242898)
,2435,190966210,,,,,-94.5218162,39.124193,POINT (-94.5218162 39.124193)
,2436,190966212,,,,,-94.5199395,39.1239917,POINT (-94.5199395 39.1239917)
,2437,190966213,,,,,-94.5195048,39.1239993,POINT (-94.5195048 39.1239993)
